1, 2, 80, 5, 0.5311418685121108
2, 2, 120, 5, 0.5755980141417181
1, 1, 120, 15, 0.6108770874078532
2, 1, 80, 15, 0.6108770874078532
2, 2, 80, 5, 0.6108770874078532
2, 2, 80, 15, 0.6108770874078532
1, 1, 120, 5, 0.6599969911238153
2, 1, 120, 5, 0.6627802015947044
1, 2, 80, 15, 0.6789529110877087
2, 2, 120, 15, 0.6934707386791034
1, 2, 120, 15, 0.6958778396268993
2, 1, 120, 15, 0.7009929291409659
1, 1, 80, 5, 0.7198736272002407
1, 1, 80, 15, 0.7431924176320145
2, 1, 80, 5, 0.7464269595306153
1, 2, 120, 5, 0.7876485632616218
